"","theta1","theta2","objective"
"325",-25,13,0.0130718954248366
"326",-25,12,0.0134228187919463
"327",-25,11,0.0141843971631206
"328",-25,10,-0.0075187969924812
"329",-25,9,-0.00769230769230769
"330",-25,8,-0.008
"331",-25,7,-0.00884955752212389
"332",-25,6,-0.00909090909090909
"333",-25,5,0.0510204081632653
"334",-25,4,0.0217391304347826
"335",-25,3,0.021978021978022
"336",-25,2,0.0235294117647059
"337",-25,1,0.0240963855421687
"338",-25,0,0.025
"339",-27.5,25,0.0224215246636771
"340",-27.5,24,0.0230414746543779
"341",-27.5,23,0.0238095238095238
"342",-27.5,22,0.024390243902439
"343",-27.5,21,0.0251256281407035
"344",-27.5,20,0.0255102040816327
"345",-27.5,19,0.0263157894736842
"346",-27.5,18,0.0268817204301075
"347",-27.5,17,0.0284090909090909
"348",-27.5,16,0.0117647058823529
"349",-27.5,15,0.0121212121212121
"350",-27.5,14,0.0128205128205128
"351",-27.5,13,0.0133333333333333
"352",-27.5,12,0.0138888888888889
"353",-27.5,11,-0.0072992700729927
"354",-27.5,10,-0.00769230769230769
"355",-27.5,9,-0.0078125
"356",-27.5,8,-0.00826446280991736
"357",-27.5,7,-0.00833333333333333
"358",-27.5,6,0.0188679245283019
"359",-27.5,5,-0.00961538461538462
"360",-27.5,4,0.021505376344086
"361",-27.5,3,0.0222222222222222
"362",-27.5,2,0.024390243902439
"363",-27.5,1,-0.0121951219512195
"364",-27.5,0,0.025
"365",-30,25,0.0234741784037559
"366",-30,24,0.024390243902439
"367",-30,23,0.0246305418719212
"368",-30,22,0.0251256281407035
"369",-30,21,0.0257731958762887
"370",-30,20,0.0267379679144385
"371",-30,19,0.0267379679144385
"372",-30,18,0.0114285714285714
"373",-30,17,0.0116279069767442
"374",-30,16,0.0121212121212121
"375",-30,15,0.0126582278481013
"376",-30,14,0.0131578947368421
"377",-30,13,0.0136054421768707
"378",-30,12,0.0145985401459854
"379",-30,11,0.0150375939849624
"380",-30,10,-0.00763358778625954
"381",-30,9,-0.00819672131147541
"382",-30,8,-0.00813008130081301
"383",-30,7,0.018018018018018
"384",-30,6,-0.00925925925925926
"385",-30,5,0.02
"386",-30,4,0.0222222222222222
"387",-30,3,0.021978021978022
"388",-30,2,0.0232558139534884
"389",-30,1,0.024390243902439
"390",-30,0,0.025
"391",-32.5,25,0.024390243902439
"392",-32.5,24,0.0248756218905473
"393",-32.5,23,0.0256410256410256
"394",-32.5,22,0.0259067357512953
"395",-32.5,21,0.027027027027027
"396",-32.5,20,0.0273224043715847
"397",-32.5,19,0.0277777777777778
"398",-32.5,18,0.0116959064327485
"399",-32.5,17,0.0124223602484472
"400",-32.5,16,0.0124223602484472
"401",-32.5,15,0.0131578947368421
"402",-32.5,14,0.0134228187919463
"403",-32.5,13,-0.00704225352112676
"404",-32.5,12,-0.00763358778625954
"405",-32.5,11,-0.00769230769230769
"406",-32.5,10,-0.0078740157480315
"407",-32.5,9,0.0163934426229508
"408",-32.5,8,0.0170940170940171
"409",-32.5,7,0.0196078431372549
"410",-32.5,6,-0.00943396226415094
"411",-32.5,5,-0.0103092783505155
"412",-32.5,4,-0.010752688172043
"413",-32.5,3,0.0227272727272727
"414",-32.5,2,0.0240963855421687
"415",-32.5,1,-0.0125
"416",-32.5,0,0.0625
"417",-35,25,0.0248756218905473
"418",-35,24,0.0259067357512953
"419",-35,23,0.0261780104712042
"420",-35,22,0.0267379679144385
"421",-35,21,0.010989010989011
"422",-35,20,0.0113636363636364
"423",-35,19,0.0115606936416185
"424",-35,18,0.0121212121212121
"425",-35,17,0.0121951219512195
"426",-35,16,0.0133333333333333
"427",-35,15,0.0134228187919463
"428",-35,14,0.0143884892086331
"429",-35,13,-0.0072992700729927
"430",-35,12,-0.00769230769230769
"431",-35,11,-0.008
"432",-35,10,-0.00826446280991736
"433",-35,9,-0.00840336134453781
"434",-35,8,0.0173913043478261
"435",-35,7,0.019047619047619
"436",-35,6,-0.0099009900990099
"437",-35,5,-0.0102040816326531
"438",-35,4,0.0224719101123595
"439",-35,3,0.0227272727272727
"440",-35,2,0.024390243902439
"441",-35,1,-0.05
"442",-35,0,0.0625
"443",-37.5,25,0.0257731958762887
"444",-37.5,24,0.0267379679144385
"445",-37.5,23,0.0271739130434783
"446",-37.5,22,0.0111111111111111
"447",-37.5,21,0.0116959064327485
"448",-37.5,20,0.0117647058823529
"449",-37.5,19,0.0121212121212121
"450",-37.5,18,0.0129032258064516
"451",-37.5,17,0.0131578947368421
"452",-37.5,16,0.0136054421768707
"453",-37.5,15,0.0136986301369863
"454",-37.5,14,-0.00735294117647059
"455",-37.5,13,-0.00746268656716418
"456",-37.5,12,-0.00775193798449612
"457",-37.5,11,-0.00813008130081301
"458",-37.5,10,-0.00819672131147541
"459",-37.5,9,-0.00862068965517241
"460",-37.5,8,-0.00884955752212389
"461",-37.5,7,0.019047619047619
"462",-37.5,6,0.02
"463",-37.5,5,0.0505050505050505
"464",-37.5,4,0.0217391304347826
"465",-37.5,3,0.0227272727272727
"466",-37.5,2,0.0246913580246914
"467",-37.5,1,0.025
"468",-37.5,0,-0.0125
"469",-40,25,0.0265957446808511
"470",-40,24,0.010989010989011
"471",-40,23,0.0112359550561798
"472",-40,22,0.0114942528735632
"473",-40,21,0.0118343195266272
"474",-40,20,0.0122699386503067
"475",-40,19,0.0128205128205128
"476",-40,18,0.0136054421768707
"477",-40,17,0.0134228187919463
"478",-40,16,-0.00689655172413793
"479",-40,15,-0.0072463768115942
"480",-40,14,-0.00763358778625954
"481",-40,13,-0.0078740157480315
"482",-40,12,-0.00793650793650794
"483",-40,11,-0.00819672131147541
"484",-40,10,0.0166666666666667
"485",-40,9,-0.0087719298245614
"486",-40,8,0.0181818181818182
"487",-40,7,-0.00952380952380952
"488",-40,6,0.0520833333333333
"489",-40,5,0.021505376344086
"490",-40,4,0.0224719101123595
"491",-40,3,0.0235294117647059
"492",-40,2,0.0232558139534884
"493",-40,1,-0.0125
"494",-40,0,-0.0125
"495",-42.5,25,0.0114285714285714
"496",-42.5,24,0.0111731843575419
"497",-42.5,23,0.0116959064327485
"498",-42.5,22,0.0121212121212121
"499",-42.5,21,0.0124223602484472
"500",-42.5,20,0.0127388535031847
"501",-42.5,19,0.0135135135135135
"502",-42.5,18,-0.00689655172413793
"503",-42.5,17,-0.00699300699300699
"504",-42.5,16,-0.00719424460431655
"505",-42.5,15,-0.0075187969924812
"506",-42.5,14,-0.00775193798449612
"507",-42.5,13,-0.008
"508",-42.5,12,-0.00819672131147541
"509",-42.5,11,-0.00826446280991736
"510",-42.5,10,-0.00847457627118644
"511",-42.5,9,0.018018018018018
"512",-42.5,8,-0.00909090909090909
"513",-42.5,7,0.0202020202020202
"514",-42.5,6,0.0526315789473684
"515",-42.5,5,0.0222222222222222
"516",-42.5,4,0.0227272727272727
"517",-42.5,3,-0.0119047619047619
"518",-42.5,2,0.0240963855421687
"519",-42.5,1,0.025
"520",-42.5,0,-0.0125
"521",-45,25,0.0114942528735632
"522",-45,24,0.0116959064327485
"523",-45,23,0.0123456790123457
"524",-45,22,0.0126582278481013
"525",-45,21,0.0127388535031847
"526",-45,20,0.0134228187919463
"527",-45,19,0.0138888888888889
"528",-45,18,0.0137931034482759
"529",-45,17,-0.0072463768115942
"530",-45,16,-0.0075187969924812
"531",-45,15,-0.00775193798449612
"532",-45,14,-0.0078125
"533",-45,13,-0.008
"534",-45,12,-0.00840336134453781
"535",-45,11,-0.0087719298245614
"536",-45,10,0.0446428571428571
"537",-45,9,0.0185185185185185
"538",-45,8,-0.00961538461538462
"539",-45,7,0.0208333333333333
"540",-45,6,0.021505376344086
"541",-45,5,0.0222222222222222
"542",-45,4,0.0229885057471264
"543",-45,3,-0.0117647058823529
"544",-45,2,0.024390243902439
"545",-45,1,0.025
"546",-45,0,0.025
"547",-47.5,25,0.0119760479041916
"548",-47.5,24,0.0124223602484472
"549",-47.5,23,0.0128205128205128
"550",-47.5,22,0.012987012987013
"551",-47.5,21,0.0135135135135135
"552",-47.5,20,-0.00684931506849315
"553",-47.5,19,-0.00714285714285714
"554",-47.5,18,-0.0072992700729927
"555",-47.5,17,-0.00769230769230769
"556",-47.5,16,-0.00763358778625954
"557",-47.5,15,-0.00793650793650794
"558",-47.5,14,-0.008
"559",-47.5,13,-0.00826446280991736
"560",-47.5,12,-0.00862068965517241
"561",-47.5,11,0.0175438596491228
"562",-47.5,10,0.0181818181818182
"563",-47.5,9,0.019047619047619
"564",-47.5,8,0.0202020202020202
"565",-47.5,7,0.0520833333333333
"566",-47.5,6,0.0212765957446809
"567",-47.5,5,0.021978021978022
"568",-47.5,4,0.0224719101123595
"569",-47.5,3,0.0235294117647059
"570",-47.5,2,-0.0121951219512195
"571",-47.5,1,0.025
"572",-47.5,0,0.025
"573",-50,25,0.0125
"574",-50,24,0.0128205128205128
"575",-50,23,0.0132450331125828
"576",-50,22,-0.00671140939597315
"577",-50,21,-0.00699300699300699
"578",-50,20,-0.00704225352112676
"579",-50,19,-0.00719424460431655
"580",-50,18,-0.00746268656716418
"581",-50,17,-0.00757575757575758
"582",-50,16,-0.00769230769230769
"583",-50,15,-0.008
"584",-50,14,-0.00826446280991736
"585",-50,13,-0.00854700854700855
"586",-50,12,0.0168067226890756
"587",-50,11,0.0178571428571429
"588",-50,10,0.0188679245283019
"589",-50,9,0.019047619047619
"590",-50,8,0.0485436893203883
"591",-50,7,0.0202020202020202
"592",-50,6,0.021505376344086
"593",-50,5,0.0224719101123595
"594",-50,4,0.0229885057471264
"595",-50,3,0.0235294117647059
"596",-50,2,0.024390243902439
"597",-50,1,-0.0125
"598",-50,0,-0.0125
"599",-52.5,25,-0.00662251655629139
"600",-52.5,24,-0.00666666666666667
"601",-52.5,23,-0.00704225352112676
"602",-52.5,22,-0.00704225352112676
"603",-52.5,21,-0.00714285714285714
"604",-52.5,20,-0.0072992700729927
"605",-52.5,19,-0.0075187969924812
"606",-52.5,18,-0.00769230769230769
"607",-52.5,17,-0.0078740157480315
"608",-52.5,16,-0.008
"609",-52.5,15,-0.00833333333333333
"610",-52.5,14,-0.00833333333333333
"611",-52.5,13,-0.00869565217391304
"612",-52.5,12,0.018018018018018
"613",-52.5,11,0.018348623853211
"614",-52.5,10,0.0192307692307692
"615",-52.5,9,0.0194174757281553
"616",-52.5,8,0.0210526315789474
"617",-52.5,7,-0.0102040816326531
"618",-52.5,6,0.021978021978022
"619",-52.5,5,0.0224719101123595
"620",-52.5,4,0.0235294117647059
"621",-52.5,3,0.024390243902439
"622",-52.5,2,0.024390243902439
"623",-52.5,1,0.025
"624",-52.5,0,-0.0125
"625",-55,25,-0.00684931506849315
"626",-55,24,-0.00694444444444444
"627",-55,23,-0.00719424460431655
"628",-55,22,-0.0072463768115942
"629",-55,21,-0.00757575757575758
"630",-55,20,-0.0075187969924812
"631",-55,19,-0.0078125
"632",-55,18,-0.0078125
"633",-55,17,-0.00813008130081301
"634",-55,16,-0.00826446280991736
"635",-55,15,-0.00826446280991736
"636",-55,14,0.0173913043478261
"637",-55,13,-0.00884955752212389
"638",-55,12,0.018018018018018
"639",-55,11,-0.00917431192660551
"640",-55,10,0.0194174757281553
"641",-55,9,0.0495049504950495
"642",-55,8,0.0212765957446809
"643",-55,7,0.0208333333333333
"644",-55,6,0.0222222222222222
"645",-55,5,0.0229885057471264
"646",-55,4,0.0235294117647059
"647",-55,3,0.0240963855421687
"648",-55,2,0.025
"649",-55,1,-0.0125
"650",-55,0,-0.0125
"651",-57.5,25,-0.00714285714285714
"652",-57.5,24,-0.00719424460431655
"653",-57.5,23,-0.0072992700729927
"654",-57.5,22,-0.00740740740740741
"655",-57.5,21,-0.0075187969924812
"656",-57.5,20,-0.0078125
"657",-57.5,19,-0.00793650793650794
"658",-57.5,18,-0.00813008130081301
"659",-57.5,17,-0.00826446280991736
"660",-57.5,16,0.0170940170940171
"661",-57.5,15,-0.00862068965517241
"662",-57.5,14,0.0176991150442478
"663",-57.5,13,-0.00900900900900901
"664",-57.5,12,-0.00909090909090909
"665",-57.5,11,0.0471698113207547
"666",-57.5,10,0.05
"667",-57.5,9,-0.0102040816326531
"668",-57.5,8,0.0208333333333333
"669",-57.5,7,0.021505376344086
"670",-57.5,6,0.0224719101123595
"671",-57.5,5,0.0222222222222222
"672",-57.5,4,-0.0470588235294118
"673",-57.5,3,0.0238095238095238
"674",-57.5,2,0.0246913580246914
"675",-57.5,1,0.025
"676",-57.5,0,-0.0125
"677",-60,25,-0.00719424460431655
"678",-60,24,-0.00746268656716418
"679",-60,23,-0.00769230769230769
"680",-60,22,-0.0078740157480315
"681",-60,21,-0.00793650793650794
"682",-60,20,-0.00806451612903226
"683",-60,19,-0.00813008130081301
"684",-60,18,0.0168067226890756
"685",-60,17,0.0173913043478261
"686",-60,16,0.0173913043478261
"687",-60,15,0.0175438596491228
"688",-60,14,0.018018018018018
"689",-60,13,0.0188679245283019
"690",-60,12,0.0485436893203883
"691",-60,11,0.0198019801980198
"692",-60,10,0.0204081632653061
"693",-60,9,0.0208333333333333
"694",-60,8,0.0217391304347826
"695",-60,7,0.021978021978022
"696",-60,6,0.0227272727272727
"697",-60,5,-0.0116279069767442
"698",-60,4,-0.0117647058823529
"699",-60,3,-0.0119047619047619
"700",-60,2,0.0625
"701",-60,1,0.025
"702",-60,0,0.025
