"","objective","wsize"
"1",0.0137931034482759,5
"2",0.037037037037037,5
"3",0.0373134328358209,5
"4",0.0308641975308642,5
"5",0.0384615384615385,5
"6",0.0318471337579618,5
"7",0.0387596899224806,5
"8",0.043859649122807,5
"9",0.0274725274725275,5
"10",0.0393700787401575,5
"11",0.0396825396825397,5
"12",0.0181818181818182,5
"13",0.0505050505050505,5
"14",0.0420168067226891,5
"15",0.0434782608695652,5
"16",0.0308641975308642,5
"17",0.0384615384615385,5
"18",0.0337837837837838,5
"19",0.0354609929078014,5
"20",0.0378787878787879,5
"21",0.0303030303030303,5
"22",0.0290697674418605,5
"23",0.0403225806451613,5
"24",0.0471698113207547,5
"25",0.0416666666666667,5
"26",0.0420168067226891,5
"27",0.036231884057971,5
"28",0.040983606557377,5
"29",0.0423728813559322,5
"30",0.0373134328358209,5
"31",0.0413223140495868,5
"32",0.0403225806451613,5
"33",0.0480769230769231,5
"34",0.0359712230215827,5
"35",0.0364963503649635,5
"36",0.0359712230215827,5
"37",0.0423728813559322,5
"38",0.0292397660818713,5
"39",0.0393700787401575,5
"40",0.0458715596330275,5
"41",0.033112582781457,5
"42",-0.0256410256410256,5
"43",0.0381679389312977,5
"44",0.04,5
"45",0.033112582781457,5
"46",0.0289017341040462,5
"47",0.0434782608695652,5
"48",0.018348623853211,5
"49",0.0390625,5
"50",0.0458715596330275,5
"51",0.036231884057971,5
"52",0.0373134328358209,5
"53",0.0423728813559322,5
"54",0.031055900621118,5
"55",0.0364963503649635,5
"56",0.0135135135135135,5
"57",0.0434782608695652,5
"58",0.0342465753424658,5
"59",0.04,5
"60",0.0390625,5
"61",0.0390625,5
"62",0.0367647058823529,5
"63",0.019047619047619,5
"64",0.037593984962406,5
"65",0.0458715596330275,5
"66",-0.00900900900900901,5
"67",0.040650406504065,5
"68",0.0403225806451613,5
"69",0.032258064516129,5
"70",0.0416666666666667,5
"71",0.0446428571428571,5
"72",0.018018018018018,5
"73",0.0344827586206897,5
"74",0.0333333333333333,5
"75",0.0423728813559322,5
"76",0.0303030303030303,5
"77",0.0446428571428571,5
"78",0.0116279069767442,5
"79",0.037593984962406,5
"80",0.0403225806451613,5
"81",0.04,5
"82",0.0333333333333333,5
"83",0.0442477876106195,5
"84",0.045045045045045,5
"85",0.04,5
"86",0.033112582781457,5
"87",0.040983606557377,5
"88",0.0413223140495868,5
"89",0.0454545454545455,5
"90",0.0352112676056338,5
"91",0.0378787878787879,5
"92",0.0173913043478261,5
"93",0.0420168067226891,5
"94",0.0403225806451613,5
"95",0.0166666666666667,5
"96",0.037037037037037,5
"97",0.016,5
"98",0.0138888888888889,5
"99",0.0143884892086331,5
"100",0.040983606557377,5
"101",0.0413223140495868,5
"102",0.0308641975308642,5
"103",0.0128205128205128,5
"104",0.0476190476190476,5
"105",0.040650406504065,5
"106",0.0431034482758621,5
"107",0.0416666666666667,5
"108",0.0393700787401575,5
"109",0.0480769230769231,5
"110",0.0140845070422535,5
"111",0.0116959064327485,5
"112",0.0381679389312977,5
"113",0.0434782608695652,5
"114",0.0185185185185185,5
"115",0.0131578947368421,5
"116",0.043859649122807,5
"117",0.0442477876106195,5
"118",0.0137931034482759,5
"119",0.0420168067226891,5
"120",0.034965034965035,5
"121",0.0373134328358209,5
"122",0.015748031496063,5
"123",0.0306748466257669,5
"124",0.0158730158730159,5
"125",0.0396825396825397,5
"126",0.037037037037037,5
"127",0.045045045045045,5
"128",0.0303030303030303,5
"129",0.0333333333333333,5
"130",0.0458715596330275,5
"131",0.0324675324675325,5
"132",0.0480769230769231,5
"133",0.040983606557377,5
"134",0.043859649122807,5
"135",0.0333333333333333,5
"136",0.0284090909090909,5
"137",0.0294117647058824,5
"138",0.0442477876106195,5
"139",0.0284090909090909,5
"140",0.0423728813559322,5
"141",0.0333333333333333,5
"142",0.013986013986014,5
"143",0.0423728813559322,5
"144",0.0364963503649635,5
"145",-0.00689655172413793,5
"146",0.0304878048780488,5
"147",0.0326797385620915,5
"148",0.0357142857142857,5
"149",0.0373134328358209,5
"150",0.0462962962962963,5
"151",0.037037037037037,5
"152",0.0427350427350427,5
"153",0.0427350427350427,5
"154",0.0364963503649635,5
